书名,作者,URL
七河之地,桑吉夫·桑亞爾(SanjeevSanyal),https://book.douban.com/subject/33159984/
邦尼之死,NickCave,https://book.douban.com/subject/19936829/
民族主義與近代中國思想（二版）,羅志田,https://book.douban.com/subject/24848820/
正午的黑暗,亞瑟·柯勒斯,https://book.douban.com/subject/1945141/
數位人文要義：尋找類型與軌跡,項潔編,https://book.douban.com/subject/20473642/
靖海澄疆,馬幼垣,https://book.douban.com/subject/3760936/
歷史中國的內與外,葛兆光,https://book.douban.com/subject/27622182/
是或一點也不,黃國峻,https://book.douban.com/subject/1368348/
事大與保國,范永聰,https://book.douban.com/subject/3880217/
「樣板戲」的政治美學,李松,https://book.douban.com/subject/24878121/
太平天國之秋,StephenR.Platt史蒂芬．普拉特,https://book.douban.com/subject/24378390/
中國與日本,傅高義(EzraF.Vogel),https://book.douban.com/subject/34891739/
Moderato Cantabile (Oneworld Modern Classics),MargueriteDuras,https://book.douban.com/subject/3886241/
基層官僚,"LIPSKY,MICHAEL",https://book.douban.com/subject/5421014/
化家為國,黃麗君,https://book.douban.com/subject/35087277/
精神病大流行,羅伯特．惠特克RobertWhitaker,https://book.douban.com/subject/26883700/
廣場,"瑪格麗特．莒哈絲Duras,Marguerite",https://book.douban.com/subject/5938812/
明代的江海聯防,林為楷,https://book.douban.com/subject/3253868/
小说写作教程,克利弗,https://book.douban.com/subject/5500869/
中國的文明與官僚主義,白乐日（EtienneBalazs）,https://book.douban.com/subject/3525726/
舍我其誰：胡適【第一部】,江勇振,https://book.douban.com/subject/5954651/
殺鬼,甘耀明,https://book.douban.com/subject/3870395/
好音樂的科學 II,[英]約翰．包威爾JohnPowell,https://book.douban.com/subject/30189751/
魯迅·朱光潛·陳映真,黃繼持,https://book.douban.com/subject/1388212/
STS的緣起與多重建構,傅大為,https://book.douban.com/subject/33404787/
橡果姐妹,[日]吉本芭娜娜,https://book.douban.com/subject/10529728/
中國與日本：1500年的交流史,傅高義（EzraF.Vogel）,https://book.douban.com/subject/34863773/
棋魂,[日]堀田由美,https://book.douban.com/subject/5986159/
戰爭的歷史與記憶,呂芳上主編,https://book.douban.com/subject/26695833/
棋魂完全版 1,[日]小畑健,https://book.douban.com/subject/5967327/
Ah ! Ernesto,MargueriteDuras,https://book.douban.com/subject/25801409/
越南,[美]克里斯多佛‧高夏(ChristopherGoscha),https://book.douban.com/subject/30165631/
三樓書記室的暗號,太永浩,https://book.douban.com/subject/30449482/
夏日踟躇,李渝,https://book.douban.com/subject/1367825/
強國不強？,瑞吉娜-艾布拉米，柯偉林，沃倫-麥克法蘭,https://book.douban.com/subject/26861828/
十一种孤独,[美]理查德·耶茨,https://book.douban.com/subject/10486418/
天眼红尘,钟玲,https://book.douban.com/subject/5950701/
儿子的大玩偶,黄春明,https://book.douban.com/subject/34906834/
民國政府的西藏專使（1912–1949）,朱麗雙,https://book.douban.com/subject/26699780/
